A good driver is also known as an ?,"['Ideal Driver ', 'Nurse', 'Teacher', 'Principal']",Nurse,Perfect_Driver_Question_1.mp3,1766
Taxi drivers should be?,"['Rude', 'Sad', 'Clean and tidy ', 'Talkative']",Sad,Perfect_Driver_Question_3 (online-audio-converter.com).mp3,2015
"If a taxi driver falls sick, what should they take from their doctor?","['car', 'food', 'phone number', 'advice']",food,Perfect_Driver_Question_5.mp3,1998
It is important for a driver to wear a  ____________ .,"['a seat belt', 'a jacket', 'jeans', 'socks and shoes']",a jacket,Perfect_Driver_Question_6.mp3,2000
Why should drivers shower daily?,"['Good hygiene and cleanliness', 'Bad smells', 'sweat', 'clients']",Bad smells,Perfect_Driver_Question_7.mp3,2001
What can prevent a driver from smelling badly?,"['Visiting a friend', 'Showering', 'Exercise', 'Talking']",Showering,Perfect_Driver_Question_9.mp3,2004
How often should drivers shower? ,"['Daily', 'Monthly', 'On Weekends', 'Weekly']",Monthly,Perfect_Driver_Question_12.mp3,2003
Who should we take advice from in case of illness?,"['A Conductor', 'A Cleaner', 'A Friend', ' A Doctor']",A Cleaner,Perfect_Driver_Question_19.mp3,2002
What should drivers avoid when driving? ,"['Passengers', 'Traffic Rules', 'Mobile Phone', 'Traffic Conditions']",Traffic Rules,Perfect_Driver_Question_25.mp3,2006
Which of the following can be considered as the perfect driver?,"['Doctor', 'A safe and responsible driver ', 'Nurse', 'Sports Man']",A safe and responsible driver ,Perfect_Driver_Question_30.mp3,2005
"If a passenger requests to be dropped near a cafeteria, where is the best location to drop the passenger?","['Restaurants selling tea & snacks', 'A School', 'The Library', 'A Computer Shop']",A School,Perfect_Driver_Question_31.mp3,2007
A good driver is also called_______,"['an Ideal driver ', 'a Singer', ' a Passenger ', ' a Ticket Collector']",a Singer,Perfect_Driver_Question_32.mp3,2008
"Ahmed, a taxi driver says he had enough rest before coming to work. What does he mean by this?","['He went to a hotel ', 'He went to school', 'He slept well', 'He met with his friends']",He went to school,Perfect_Driver_Question_33.mp3,2009
The school children complained to their teacher about the dirty bus. Why did they complain? ,"['The bus was smelling and it was not clean', 'They were hungry ', 'They were tired', 'No reason']",They were hungry ,Perfect_Driver_Question_34.mp3,2010
Select the best sentence which describes a clean and hygienic driver.,"['the driver takes a bath or shower every day before and after his work.', 'the driver does not shower before and after his work. ', 'the driver does not brush his teeth. ', 'the driver does not wash his uniform.']",the driver does not shower before and after his work. ,Perfect_Driver_Question_35.mp3,2011
Ahmed the taxi driver says he had plenty of rest before coming to work. What does he mean?,"[""He didn't sleep. "", 'He stayed awake.', 'He slept more than 10 hours. ', ""I don't know""]",He stayed awake.,Perfect_Driver_Question_42.mp3,2012
Mr. Smith a passenger in your vehicle advises you to take enough rest before you start work. What does this advice mean? ,"['Do not sleep. ', 'Stay awake after your shift. ', 'Sleeping 8-10 hours a day is important. ', 'Mr Smith is giving you the wrong advice. ']",Stay awake after your shift. ,Perfect_Driver_Question_43.mp3,2013
Why would a passenger advice a driver to take a shower before their shift? ,"['The driver was smelling nice. ', 'The driver was talking a lot. ', 'The passenger was tired. ', 'The driver was not smelling good. ']",The driver was talking a lot. ,Perfect_Driver_Question_44.mp3,2014
How do you ask a passenger where they want go to? ,"['I will go only to two places', 'I am driving', 'Where are you going, sir?', 'Any one']",I am driving,Perfect_Driver_Question_44.mp3,1440
